Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
3985,CA-2017-135265,07/07/2017,09/07/2017,Second Class,CC-12370,Christopher Conant,0,United States,Los Angeles,California,90045.0,3,OFF-PA-10002923,1,12,1729,48.94
4825,CA-2017-140018,21/11/2017,26/11/2017,Standard Class,CK-12205,Chloris Kastensmidt,0,United States,Columbus,Ohio,43229.0,1,FUR-CH-10003817,0,5,770,127.554
1415,CA-2018-115994,28/01/2018,31/01/2018,Second Class,BT-11305,Beth Thompson,2,United States,Costa Mesa,California,92627.0,3,TEC-AC-10000580,2,0,997,239.97
541,CA-2015-140795,01/02/2015,03/02/2015,First Class,BD-11500,Bradley Drucker,0,United States,Green Bay,Wisconsin,54302.0,0,TEC-AC-10001432,2,0,599,468.9
6523,CA-2018-138289,16/01/2018,18/01/2018,Second Class,AR-10540,Andy Reiter,0,United States,Jackson,Michigan,49201.0,0,OFF-PA-10001260,1,12,1525,56.07
3578,CA-2017-103163,07/06/2017,11/06/2017,Standard Class,FM-14290,Frank Merwin,2,United States,Bakersfield,California,93309.0,3,OFF-PA-10004000,1,12,1613,4.73
7820,CA-2018-150469,26/01/2018,30/01/2018,Standard Class,CJ-12010,Caroline Jumper,0,United States,San Francisco,California,94109.0,3,OFF-FA-10000611,1,8,328,11.84
1618,CA-2016-130022,10/08/2016,16/08/2016,Standard Class,JK-16120,Julie Kriz,2,United States,Eagan,Minnesota,55122.0,0,OFF-AR-10001915,1,2,1250,29.79
4827,US-2018-136707,12/11/2018,15/11/2018,First Class,JE-15610,Jim Epp,1,United States,Los Angeles,California,90036.0,3,OFF-BI-10003460,1,3,49,14.016
3406,US-2015-150119,23/04/2015,27/04/2015,Standard Class,LB-16795,Laurel Beltran,2,United States,Columbus,Ohio,43229.0,1,FUR-CH-10002965,0,5,758,281.372
211,CA-2018-135860,01/12/2018,07/12/2018,Standard Class,JH-15985,Joseph Holt,0,United States,Saginaw,Michigan,48601.0,0,OFF-ST-10001522,1,14,774,91.99
9126,CA-2017-128916,18/08/2017,20/08/2017,Second Class,MA-17560,Matt Abelman,2,United States,Houston,Texas,77070.0,0,FUR-FU-10000320,0,9,1197,5.344
755,CA-2016-135272,07/12/2016,12/12/2016,Standard Class,MS-17830,Melanie Seite,0,United States,Los Angeles,California,90036.0,3,FUR-FU-10002759,0,9,11,79.92
5021,CA-2018-136511,23/03/2018,25/03/2018,Second Class,MZ-17515,Mary Zewe,1,United States,New York City,New York,10011.0,1,OFF-SU-10003505,1,15,1299,347.58
6105,US-2018-132381,22/08/2018,24/08/2018,First Class,Dp-13240,Dean percer,2,United States,Philadelphia,Pennsylvania,19143.0,1,FUR-TA-10002356,0,16,319,314.532
3788,CA-2017-169971,04/09/2017,09/09/2017,Standard Class,IL-15100,Ivan Liston,0,United States,Houston,Texas,77041.0,0,OFF-AR-10002804,1,2,626,3.912
4285,CA-2016-105690,21/11/2016,26/11/2016,Second Class,CA-11965,Carol Adams,1,United States,Port Arthur,Texas,77642.0,0,FUR-BO-10003965,0,4,1190,246.1328
9328,US-2018-130687,07/09/2018,10/09/2018,First Class,PF-19225,Phillip Flathmann,0,United States,Edmonds,Washington,98026.0,3,TEC-PH-10002033,2,13,964,455.712
1889,CA-2015-142587,21/10/2015,22/10/2015,First Class,TB-21520,Tracy Blumstein,0,United States,Fairfield,Ohio,45014.0,1,OFF-AP-10004708,1,1,661,121.792
3429,US-2018-111024,03/07/2018,06/07/2018,Second Class,SZ-20035,Sam Zeldin,2,United States,Lancaster,Ohio,43130.0,1,FUR-TA-10002041,0,16,325,215.148
6241,US-2017-131912,29/10/2017,01/11/2017,Second Class,LH-17155,Logan Haushalter,0,United States,Los Angeles,California,90008.0,3,OFF-BI-10004236,1,3,1835,11.744
3796,US-2015-117163,27/01/2015,02/02/2015,Standard Class,EJ-13720,Ed Jacobs,0,United States,San Diego,California,92037.0,3,FUR-TA-10003469,0,16,286,333.0
5565,CA-2018-157966,13/03/2018,13/03/2018,Same Day,SU-20665,Stephanie Ulpright,2,United States,Chicago,Illinois,60610.0,0,OFF-AR-10000799,1,2,453,19.456
4337,CA-2016-154795,20/12/2016,24/12/2016,Standard Class,GZ-14470,Gary Zandusky,0,United States,Bullhead City,Arizona,86442.0,3,FUR-FU-10002088,0,9,1176,14.368
514,CA-2018-163405,21/12/2018,25/12/2018,Standard Class,BN-11515,Bradley Nguyen,0,United States,Los Angeles,California,90049.0,3,OFF-AR-10003811,1,2,1133,6.63
2603,CA-2017-165848,04/06/2017,04/06/2017,Same Day,EN-13780,Edward Nazzal,0,United States,New York City,New York,10035.0,1,TEC-MA-10003356,2,11,1234,1349.85
3044,CA-2018-149559,11/09/2018,12/09/2018,Same Day,KF-16285,Karen Ferguson,2,United States,Long Beach,California,90805.0,3,FUR-CH-10002320,0,5,851,2054.272
4211,CA-2018-109715,09/12/2018,14/12/2018,Standard Class,AH-10585,Angele Hood,0,United States,Chicago,Illinois,60623.0,0,OFF-PA-10004965,1,12,1706,15.984
3234,US-2018-156356,16/04/2018,22/04/2018,Standard Class,ND-18370,Natalie DeCherney,0,United States,Houston,Texas,77095.0,0,OFF-ST-10002301,1,14,1549,32.544
8310,CA-2015-168312,01/03/2015,07/03/2015,Standard Class,GW-14605,Giulietta Weimer,0,United States,Houston,Texas,77036.0,0,OFF-ST-10003692,1,14,1337,137.352
5158,CA-2018-163006,30/06/2018,04/07/2018,Second Class,GH-14410,Gary Hansen,2,United States,Chicago,Illinois,60653.0,0,FUR-CH-10000229,0,5,747,569.058
3594,CA-2017-164154,11/09/2017,17/09/2017,Standard Class,NZ-18565,Nick Zandusky,2,United States,Toledo,Ohio,43615.0,1,OFF-BI-10001658,1,3,710,22.428
7266,US-2015-143721,23/11/2015,26/11/2015,Second Class,DK-12835,Damala Kotsonis,1,United States,Houston,Texas,77095.0,0,FUR-CH-10001973,0,5,1212,155.372
8828,US-2015-157847,02/04/2015,06/04/2015,Second Class,SC-20020,Sam Craven,0,United States,Houston,Texas,77095.0,0,OFF-PA-10001593,1,12,1734,33.488
5795,CA-2018-140186,29/09/2018,02/10/2018,First Class,PG-18820,Patrick Gardner,0,United States,Bakersfield,California,93309.0,3,OFF-BI-10003364,1,3,330,46.672
602,US-2017-100720,16/07/2017,21/07/2017,Standard Class,CK-12205,Chloris Kastensmidt,0,United States,Philadelphia,Pennsylvania,19120.0,1,OFF-SU-10001574,1,15,102,5.84
